authors,number of publications,Degree,Betweenness,Deg_Cent
 Andrew J Lees,9,50,0.0023469006530168336,0.0029888218064439
 Jau-Shyong Hong,4,34,0.0023079087886893296,0.0020323988283818518
 James M Shine,4,15,0.0022395366151254283,0.00089664654193317
 Marjan Jahanshahi,5,20,0.002201282672378425,0.00119552872257756
 Roy N Alcalay,4,58,0.002201082106168667,0.0034670332954749236
Simon J G Lewis,3,5,0.0021990352923680926,0.00029888218064439
 A Jon Stoessl,7,42,0.002182471189905403,0.0025106103174128763
 E Mark Haacke,2,16,0.002118332815470999,0.0009564229780620481
 Alfonso Fasano,3,24,0.0021043518258622184,0.001434634467093072
 Teus van Laar,3,30,0.0020916239575237664,0.00179329308386634
 Michael S Okun,7,41,0.0020568242233419305,0.002450833881283998
 Li Zhang,4,25,0.0020417826711170524,0.00149441090322195
 Esther Pérez-Navarro,2,18,0.002037573163599129,0.001075975850319804
 Y Zhao,4,41,0.0020337411297306047,0.002450833881283998
 Patrick Santens,4,36,0.0020078544346111282,0.002151951700639608
 G Wang,2,30,0.002005452364130226,0.00179329308386634
 Björn Holmberg,3,24,0.0020053784535556465,0.001434634467093072
 Olivier Rascol,4,36,0.002004342212643837,0.002151951700639608
 U Bonuccelli,4,30,0.001999633994398968,0.00179329308386634
 Ulrich Dillmann,2,17,0.001997171897047653,0.0010161994141909259
 Jean-Christophe Rochet,2,29,0.0019933123770601827,0.0017335166477374618
 Clemens R Scherzer,2,50,0.001980950421969982,0.0029888218064439
 Koen Van Laere,2,17,0.0019459510587319575,0.0010161994141909259
 P Odin,4,22,0.0018797059113692407,0.001315081594835316
 Ted M Dawson,8,45,0.0018778062476832176,0.00268993962579951
François Tison,2,19,0.0018055603142394332,0.0011357522864486821
 Matthew Farrer,3,53,0.0018016388855139863,0.003168151114830534
 Andres M Lozano,9,49,0.0017996133302791509,0.002929045370315022
 Christine Hulette,2,39,0.0017963551294383148,0.002331281009026242
 Charles H Adler,4,25,0.0017948318800832203,0.00149441090322195
 Owen A Ross,4,73,0.0017922234737260746,0.004363679837408094
 Paolo Calabresi,4,28,0.0017291100867695304,0.001673740211608584
 Klaus Fassbender,2,14,0.0017139628063638833,0.000836870105804292
 P Riederer,6,34,0.0016768133665028232,0.0020323988283818518
 Hao Deng,2,14,0.001673447189862854,0.000836870105804292
 Toshiki Uchihara,2,12,0.0016734471898628535,0.0007173172335465358
 Jan Petter Larsen,8,54,0.0016429252915340367,0.003227927550959412
