authors,number of publications,Degree,Betweenness,Deg_Cent
 Sandra Gellhaar,1,13,0.0,0.0007770936696754138
 Sandra Paglionico,1,13,0.0,0.0007770936696754138
 Sandrine Dupouy,1,13,0.0,0.0007770936696754138
 Sang Mok Lee,1,13,0.0,0.0007770936696754138
 Satoru Fujiwara,1,13,0.0,0.0007770936696754138
 Scott J Hultgren,1,13,0.0,0.0007770936696754138
 Seong Woong Kim,1,13,0.0,0.0007770936696754138
 Sergio P Rigonatti,1,13,0.0,0.0007770936696754138
 Seung Hyun Kim,1,13,0.0,0.0007770936696754138
 Shau-Hsuan Li,1,13,0.0,0.0007770936696754138
 Shey-Lin Wu,1,13,0.0,0.0007770936696754138
 Shigeru Yatoh,1,13,0.0,0.0007770936696754138
 Shingo Kakeda,1,13,0.0,0.0007770936696754138
 Shiro Bannai,1,13,0.0,0.0007770936696754138
 Sho Kobayashi,1,13,0.0,0.0007770936696754138
 Shonagh O'Leary Moore,1,13,0.0,0.0007770936696754138
 Shu-yang Yu,1,13,0.0,0.0007770936696754138
 Shunsuke Aoki,1,13,0.0,0.0007770936696754138
 Shuu-Jiun Wang,1,13,0.0,0.0007770936696754138
 Simona Daniele,1,13,0.0,0.0007770936696754138
 Stefania Cipullo,1,13,0.0,0.0007770936696754138
 Susanna Nencetti,1,13,0.0,0.0007770936696754138
 Susumu Ikeda,1,13,0.0,0.0007770936696754138
 T Biedermann,1,13,0.0,0.0007770936696754138
 T Simkins,1,13,0.0,0.0007770936696754138
 T Steckler,1,13,0.0,0.0007770936696754138
 Taiki Sato,1,13,0.0,0.0007770936696754138
 Tang Hong-Min,1,13,0.0,0.0007770936696754138
 Tang Yan-Hong,1,13,0.0,0.0007770936696754138
 Teruo Yokoyama,1,13,0.0,0.0007770936696754138
 Tessa A M Rademaker,1,13,0.0,0.0007770936696754138
 Thibaud Thiollier,1,13,0.0,0.0007770936696754138
 Thomas Lemarchand,1,13,0.0,0.0007770936696754138
 Thomas M Engber,1,13,0.0,0.0007770936696754138
 Tomohiro Adachi,1,13,0.0,0.0007770936696754138
 Tomoko Okada,1,13,0.0,0.0007770936696754138
 Toni Shippenberg,1,13,0.0,0.0007770936696754138
 Tonika Bohnert,1,13,0.0,0.0007770936696754138
 Toru Yasuda,1,13,0.0,0.0007770936696754138
 Tracey K Murray,1,13,0.0,0.0007770936696754138
 Tsu-Kung Lin,1,13,0.0,0.0007770936696754138
 Turi O Dalaker,1,13,0.0,0.0007770936696754138
 Ulf Andreasson,1,13,0.0,0.0007770936696754138
 V Bonavita,1,13,0.0,0.0007770936696754138
 V Duka,1,13,0.0,0.0007770936696754138
 V Fedele,1,13,0.0,0.0007770936696754138
 V Sansone,1,13,0.0,0.0007770936696754138
 V Shahi,1,13,0.0,0.0007770936696754138
 Valérie Soland,1,13,0.0,0.0007770936696754138
 W-L Au,1,13,0.0,0.0007770936696754138
 Wang Guo-Hua,1,13,0.0,0.0007770936696754138
 Wang Xiang-Yu,1,13,0.0,0.0007770936696754138
 Wassilios G Meissner,1,13,0.0,0.0007770936696754138
 Wei-Che Lin,1,13,0.0,0.0007770936696754138
 Wei-Ming Lin,1,13,0.0,0.0007770936696754138
 Wenjie Wang,1,13,0.0,0.0007770936696754138
 X Chen,1,13,0.0,0.0007770936696754138
 Xi-yan Huang,1,13,0.0,0.0007770936696754138
 Xian Lin,1,13,0.0,0.0007770936696754138
 Xiang Cai,1,13,0.0,0.0007770936696754138
 Xiao-min Wang,1,13,0.0,0.0007770936696754138
 Xiaojing Gu,1,13,0.0,0.0007770936696754138
 Xiaoqin Yuan,1,13,0.0,0.0007770936696754138
 Xu Liu,1,13,0.0,0.0007770936696754138
 Y B Chong,1,13,0.0,0.0007770936696754138
 Y Zhou,1,13,0.0,0.0007770936696754138
 Y-C Lee,1,13,0.0,0.0007770936696754138
 Yang Hu,1,13,0.0,0.0007770936696754138
 Yang Yun-Ke,1,13,0.0,0.0007770936696754138
 Ying Xia,1,13,0.0,0.0007770936696754138
 Yoko Sugano,1,13,0.0,0.0007770936696754138
 Young Joo Lee,1,13,0.0,0.0007770936696754138
 Yuan-Han Yang,1,13,0.0,0.0007770936696754138
 Yueh-Feng Sung,1,13,0.0,0.0007770936696754138
 Yung-Cheng Huang,1,13,0.0,0.0007770936696754138
 Yung-Yee Chang,1,13,0.0,0.0007770936696754138
 Z S Lavina,1,13,0.0,0.0007770936696754138
 Zachary T Cusumano,1,13,0.0,0.0007770936696754138
 Ze-Jie Chen,1,13,0.0,0.0007770936696754138
 Zhao-fen Yan,1,13,0.0,0.0007770936696754138
 Zhuo Liu,1,13,0.0,0.0007770936696754138
A Varrone,1,13,0.0,0.0007770936696754138
Aida M Bertoli-Avella,1,13,0.0,0.0007770936696754138
Alice Kunzler,1,13,0.0,0.0007770936696754138
Ann Massie,1,13,0.0,0.0007770936696754138
C Lanni,1,13,0.0,0.0007770936696754138
Carolyn M Hutter,1,13,0.0,0.0007770936696754138
Ellison Fernando Cardoso,1,13,0.0,0.0007770936696754138
Erika Matsumura-Matsuda,1,13,0.0,0.0007770936696754138
Guido Alves,1,13,0.0,0.0007770936696754138
H O Lawal,1,13,0.0,0.0007770936696754138
Hairuo Peng,1,13,0.0,0.0007770936696754138
Hussein Daoud,1,13,0.0,0.0007770936696754138
J J Credle,1,13,0.0,0.0007770936696754138
Jayanth S Chandran,1,13,0.0,0.0007770936696754138
Kun-Hsien Chou,1,13,0.0,0.0007770936696754138
Maria Letizia Trincavelli,1,13,0.0,0.0007770936696754138
Maria Salsone,1,13,0.0,0.0007770936696754138
Marie Westerlund,1,13,0.0,0.0007770936696754138
Min Shi,1,13,0.0,0.0007770936696754138
N Moisoi,1,13,0.0,0.0007770936696754138
Patrick F Chinnery,1,13,0.0,0.0007770936696754138
Paulien G M Ravenstijn,1,13,0.0,0.0007770936696754138
Roberto Cilia,1,13,0.0,0.0007770936696754138
Roger D Klein,1,13,0.0,0.0007770936696754138
S Zucchelli,1,13,0.0,0.0007770936696754138
Sachio Naito,1,13,0.0,0.0007770936696754138
Satoru Ide,1,13,0.0,0.0007770936696754138
Seong-Ho Koh,1,13,0.0,0.0007770936696754138
Sun Shan,1,13,0.0,0.0007770936696754138
Wei-Ju Lee,1,13,0.0,0.0007770936696754138
Xiaobo Wei,1,13,0.0,0.0007770936696754138
Y Zhao,1,13,0.0,0.0007770936696754138
Yongping Chen,1,13,0.0,0.0007770936696754138
 A Chai,1,12,0.0,0.0007173172335465358
 A Duhamel,1,12,0.0,0.0007173172335465358
 A Seiger,1,12,0.0,0.0007173172335465358
 Albert Lladó,1,12,0.0,0.0007173172335465358
 Albert Lleó,1,12,0.0,0.0007173172335465358
 Alberta Samuele,1,12,0.0,0.0007173172335465358
 Alessandro Stefani,1,12,0.0,0.0007173172335465358
 Alex Pogosyan,1,12,0.0,0.0007173172335465358
 Alexandros Papadimitriou,1,12,0.0,0.0007173172335465358
 Ali Yilmaz,1,12,0.0,0.0007173172335465358
 Alla Guekht,1,12,0.0,0.0007173172335465358
 Anastasia Kukshina,1,12,0.0,0.0007173172335465358
 Andrew Roberts,1,12,0.0,0.0007173172335465358
 Anita Israel,1,12,0.0,0.0007173172335465358
 Anna Antonell,1,12,0.0,0.0007173172335465358
 Anna Mangiagalli,1,12,0.0,0.0007173172335465358
 Anna-Lena Törnqvist,1,12,0.0,0.0007173172335465358
 Areum Jo,1,12,0.0,0.0007173172335465358
 Arivazhagan Roshini,1,12,0.0,0.0007173172335465358
 B Hamberger,1,12,0.0,0.0007173172335465358
 B Hoffer,1,12,0.0,0.0007173172335465358
 B Meyerson,1,12,0.0,0.0007173172335465358
 B Thielemans,1,12,0.0,0.0007173172335465358
 Ben Z Roitberg,1,12,0.0,0.0007173172335465358
 Biagina Migliore de Angel,1,12,0.0,0.0007173172335465358
 Bin Zhao,1,12,0.0,0.0007173172335465358
 Binith Cheeran,1,12,0.0,0.0007173172335465358
 Bonghee Lee,1,12,0.0,0.0007173172335465358
 Branislav Veselý,1,12,0.0,0.0007173172335465358
 Bu-Miin Huang,1,12,0.0,0.0007173172335465358
 Byoung-Joon Song,1,12,0.0,0.0007173172335465358
 C Tan,1,12,0.0,0.0007173172335465358
 Carol Dobson-Stone,1,12,0.0,0.0007173172335465358
 Cecire Rosales,1,12,0.0,0.0007173172335465358
 Chia-Ching Wu,1,12,0.0,0.0007173172335465358
 Chia-Wei Lin,1,12,0.0,0.0007173172335465358
 Chih-Yi Chang,1,12,0.0,0.0007173172335465358
 Choon-Gon Jang,1,12,0.0,0.0007173172335465358
 Chunxia Chen,1,12,0.0,0.0007173172335465358
 Constantine G Lyketsos,1,12,0.0,0.0007173172335465358
 Coral Sanfeliu,1,12,0.0,0.0007173172335465358
 D Young,1,12,0.0,0.0007173172335465358
 Daisuke Wada,1,12,0.0,0.0007173172335465358
 Daniel Alcolea,1,12,0.0,0.0007173172335465358
 Delger Bayarsaikhan,1,12,0.0,0.0007173172335465358
 Domenicantonio Tropepi,1,12,0.0,0.0007173172335465358
 Donald E Reymers,1,12,0.0,0.0007173172335465358
 E O Backlund,1,12,0.0,0.0007173172335465358
 Elisabet Englund,1,12,0.0,0.0007173172335465358
 Elvia Victoria Cabrera,1,12,0.0,0.0007173172335465358
 Emanuela Rasini,1,12,0.0,0.0007173172335465358
 Emily Schulz,1,12,0.0,0.0007173172335465358
 Eray Tuccar,1,12,0.0,0.0007173172335465358
 Ernesto Fedele,1,12,0.0,0.0007173172335465358
 Esther S Oh,1,12,0.0,0.0007173172335465358
 Eugene Gusev,1,12,0.0,0.0007173172335465358
 F Clement,1,12,0.0,0.0007173172335465358
 F Wang,1,12,0.0,0.0007173172335465358
 Feng Ye,1,12,0.0,0.0007173172335465358
 Fernando D Suvire,1,12,0.0,0.0007173172335465358
 Franca Marino,1,12,0.0,0.0007173172335465358
 Francesco Fornai,1,12,0.0,0.0007173172335465358
 Frank-Erik de Leeuw,1,12,0.0,0.0007173172335465358
 Gabriel Castillo,1,12,0.0,0.0007173172335465358
 Georgy Popov,1,12,0.0,0.0007173172335465358
 Gianmario Frigo,1,12,0.0,0.0007173172335465358
 Gonzalo Visbal,1,12,0.0,0.0007173172335465358
 Gordon H Baltuch,1,12,0.0,0.0007173172335465358
 Guangyu Wang,1,12,0.0,0.0007173172335465358
 Guoda Ma,1,12,0.0,0.0007173172335465358
 Guojun Li,1,12,0.0,0.0007173172335465358
 Guorong Dan,1,12,0.0,0.0007173172335465358
 Gwenn S Smith,1,12,0.0,0.0007173172335465358
 H Chung,1,12,0.0,0.0007173172335465358
 H Sunny Sun,1,12,0.0,0.0007173172335465358
 Haiming Jing,1,12,0.0,0.0007173172335465358
 Han-In Yang,1,12,0.0,0.0007173172335465358
 Hayriye Cagnan,1,12,0.0,0.0007173172335465358
 Heberto Suárez-Roca,1,12,0.0,0.0007173172335465358
 Helen Fitzsimons,1,12,0.0,0.0007173172335465358
 Henry Brodaty,1,12,0.0,0.0007173172335465358
 Hiroshi Mizuguchi,1,12,0.0,0.0007173172335465358
 Hiroshi Momota,1,12,0.0,0.0007173172335465358
 Hiroyoshi Ariga,1,12,0.0,0.0007173172335465358
 Hisashi Kitagawa,1,12,0.0,0.0007173172335465358
 Hojin Kang,1,12,0.0,0.0007173172335465358
 Hon C Fung,1,12,0.0,0.0007173172335465358
 Hrishikesh Kumar,1,12,0.0,0.0007173172335465358
 Hsiu-Mei Chen,1,12,0.0,0.0007173172335465358
 Hui Wang,1,12,0.0,0.0007173172335465358
 Hye-Jeong Park,1,12,0.0,0.0007173172335465358
 Hyein Kim,1,12,0.0,0.0007173172335465358
 I Strömberq,1,12,0.0,0.0007173172335465358
 Ilana Schlesinger,1,12,0.0,0.0007173172335465358
 J Xiong,1,12,0.0,0.0007173172335465358
 Jaesuk Lee,1,12,0.0,0.0007173172335465358
 Jaime E Charris,1,12,0.0,0.0007173172335465358
 James Gratwicke,1,12,0.0,0.0007173172335465358
 Jaroslaw Slawek,1,12,0.0,0.0007173172335465358
 Jeffrey Moirano,1,12,0.0,0.0007173172335465358
 Jens P Reese,1,12,0.0,0.0007173172335465358
 Jeong-Yun Choi,1,12,0.0,0.0007173172335465358
 Jeongsik Moon,1,12,0.0,0.0007173172335465358
 Ji Eun Yoo,1,12,0.0,0.0007173172335465358
 Ji Won Lee,1,12,0.0,0.0007173172335465358
 Jia Cao,1,12,0.0,0.0007173172335465358
 Jih-Ing Chuang,1,12,0.0,0.0007173172335465358
 Jinyi Liu,1,12,0.0,0.0007173172335465358
 Jiyan Ma,1,12,0.0,0.0007173172335465358
 John B J Kwok,1,12,0.0,0.0007173172335465358
 Joo-Ho Shin,1,12,0.0,0.0007173172335465358
 Jorge E Angel-Guío,1,12,0.0,0.0007173172335465358
 José Luís Molinuevo,1,12,0.0,0.0007173172335465358
 Juan Fortea,1,12,0.0,0.0007173172335465358
 K Ajebbar,1,12,0.0,0.0007173172335465358
 K Dujardin,1,12,0.0,0.0007173172335465358
 Kara Beasley,1,12,0.0,0.0007173172335465358
 Karen Mather,1,12,0.0,0.0007173172335465358
 Katelyn Becker,1,12,0.0,0.0007173172335465358
 Katharina Gwinn-Hardy,1,12,0.0,0.0007173172335465358
 Kaviraja Udupa,1,12,0.0,0.0007173172335465358
 Kazuyuki Takata,1,12,0.0,0.0007173172335465358
 Ki-Young Chang,1,12,0.0,0.0007173172335465358
 Kyunghee Byun,1,12,0.0,0.0007173172335465358
 L O Farnebo,1,12,0.0,0.0007173172335465358
 L Olson,1,12,0.0,0.0007173172335465358
 Likui Yang,1,12,0.0,0.0007173172335465358
 Lin Ao,1,12,0.0,0.0007173172335465358
 Lindsay K Meyerdirk,1,12,0.0,0.0007173172335465358
 Lluis Samaranch,1,12,0.0,0.0007173172335465358
 Lorena de Mena,1,12,0.0,0.0007173172335465358
 Ludvic Zrinzo,1,12,0.0,0.0007173172335465358
 M Jia,1,12,0.0,0.0007173172335465358
 M Kroumova,1,12,0.0,0.0007173172335465358
 M L Teoh,1,12,0.0,0.0007173172335465358
 Marco Cosentino,1,12,0.0,0.0007173172335465358
 Marco Ferrari,1,12,0.0,0.0007173172335465358
 Maren Carbon,1,12,0.0,0.0007173172335465358
 Maria José Martí,1,12,0.0,0.0007173172335465358
 Maria Ossola,1,12,0.0,0.0007173172335465358
 Maria R Garrido,1,12,0.0,0.0007173172335465358
 Marianne Hallupp,1,12,0.0,0.0007173172335465358
 Marwan Hariz,1,12,0.0,0.0007173172335465358
 Masahito Morita,1,12,0.0,0.0007173172335465358
 Matthew J During,1,12,0.0,0.0007173172335465358
 Michael G Kaplitt,1,12,0.0,0.0007173172335465358
 Michael Maddens,1,12,0.0,0.0007173172335465358
 Milica G Kramberger,1,12,0.0,0.0007173172335465358
 Mingzhi Liao,1,12,0.0,0.0007173172335465358
 Monika Balzer-Geldsetzer,1,12,0.0,0.0007173172335465358
 Myeongjoo Son,1,12,0.0,0.0007173172335465358
 N Waucquier,1,12,0.0,0.0007173172335465358
 Na Liu,1,12,0.0,0.0007173172335465358
 Natalia Bertschi,1,12,0.0,0.0007173172335465358
 Nicola J Armstrong,1,12,0.0,0.0007173172335465358
 Nolwen L Rey,1,12,0.0,0.0007173172335465358
 O Cottencin,1,12,0.0,0.0007173172335465358
 P Hansson,1,12,0.0,0.0007173172335465358
 P Krystkowiak,1,12,0.0,0.0007173172335465358
 Pei-Hsun Cheng,1,12,0.0,0.0007173172335465358
 Pengwen Wang,1,12,0.0,0.0007173172335465358
 Perla Kaliman,1,12,0.0,0.0007173172335465358
 Perminder S Sachdev,1,12,0.0,0.0007173172335465358
 Peter Valkovič,1,12,0.0,0.0007173172335465358
 Phuong-Khue Thi Nguyen,1,12,0.0,0.0007173172335465358
 Praveen Kumar,1,12,0.0,0.0007173172335465358
 Qiuhong Yu,1,12,0.0,0.0007173172335465358
 R Freedman,1,12,0.0,0.0007173172335465358
 Raffaella Bombelli,1,12,0.0,0.0007173172335465358
 Raquel Sanchez-Valle,1,12,0.0,0.0007173172335465358
 Ray O Bahado-Singh,1,12,0.0,0.0007173172335465358
 Renzhi Wang,1,12,0.0,0.0007173172335465358
 Ricardo D Enriz,1,12,0.0,0.0007173172335465358
 Rin Khang,1,12,0.0,0.0007173172335465358
 Ronald Mandel,1,12,0.0,0.0007173172335465358
 Ryuichi Kishibuchi,1,12,0.0,0.0007173172335465358
 S M C Fook-Chong,1,12,0.0,0.0007173172335465358
 S Sun,1,12,0.0,0.0007173172335465358
 S Y Lum,1,12,0.0,0.0007173172335465358
 Sanae M M Iguchi-Ariga,1,12,0.0,0.0007173172335465358
 Sang Chul Park,1,12,0.0,0.0007173172335465358
 Sang Ok Song,1,12,0.0,0.0007173172335465358
 Sarah J Lincoln,1,12,0.0,0.0007173172335465358
 Sergio Lecchini,1,12,0.0,0.0007173172335465358
 Seung-Mook Jo,1,12,0.0,0.0007173172335465358
 Seyeon Oh,1,12,0.0,0.0007173172335465358
 Shang-Hsun Yang,1,12,0.0,0.0007173172335465358
 Shaw-Jenq Tsai,1,12,0.0,0.0007173172335465358
 Shigeki Nishihara,1,12,0.0,0.0007173172335465358
 Silvia Rossi,1,12,0.0,0.0007173172335465358
 Simon E López,1,12,0.0,0.0007173172335465358
 Spencer Neal,1,12,0.0,0.0007173172335465358
 Stephanie A Cobb,1,12,0.0,0.0007173172335465358
 Sung-Chun Cho,1,12,0.0,0.0007173172335465358
 T Ebendal,1,12,0.0,0.0007173172335465358
 Takahiro Taira,1,12,0.0,0.0007173172335465358
 Takeshi K Watanabe,1,12,0.0,0.0007173172335465358
 Tatsuki Ibuki,1,12,0.0,0.0007173172335465358
 Tatyana V Zhukova,1,12,0.0,0.0007173172335465358
 Tetsuya Hashimoto,1,12,0.0,0.0007173172335465358
 The-Vinh Tran,1,12,0.0,0.0007173172335465358
 Tomoyuki Iwanaga,1,12,0.0,0.0007173172335465358
 Toshitaka Nabeshima,1,12,0.0,0.0007173172335465358
 Utpal Saha,1,12,0.0,0.0007173172335465358
 V R Chandran,1,12,0.0,0.0007173172335465358
 Viktoria Gryb,1,12,0.0,0.0007173172335465358
 Vincenzo Moschella,1,12,0.0,0.0007173172335465358
 Wael F Asaad,1,12,0.0,0.0007173172335465358
 William S Anderson,1,12,0.0,0.0007173172335465358
 Woojin S Kim,1,12,0.0,0.0007173172335465358
 X Cao,1,12,0.0,0.0007173172335465358
 Xinjie Bao,1,12,0.0,0.0007173172335465358
 Y Yih,1,12,0.0,0.0007173172335465358
 Yan Sai,1,12,0.0,0.0007173172335465358
 Yang Xiao,1,12,0.0,0.0007173172335465358
 Yasushi Onaka,1,12,0.0,0.0007173172335465358
 Ying Cai,1,12,0.0,0.0007173172335465358
 Ying Han,1,12,0.0,0.0007173172335465358
 Young J Oh,1,12,0.0,0.0007173172335465358
 Young Wan Ha,1,12,0.0,0.0007173172335465358
 Yu-Fan Chang,1,12,0.0,0.0007173172335465358
 Yuanpeng Zhao,1,12,0.0,0.0007173172335465358
 Yuki Yamasaki,1,12,0.0,0.0007173172335465358
 Yunjong Lee,1,12,0.0,0.0007173172335465358
 Yunsung Nam,1,12,0.0,0.0007173172335465358
 Yuting Liu,1,12,0.0,0.0007173172335465358
 Z Liang,1,12,0.0,0.0007173172335465358
 Z Lin,1,12,0.0,0.0007173172335465358
 Z Zhang,2,12,0.0,0.0007173172335465358
 Zachary Madaj,1,12,0.0,0.0007173172335465358
 Zhihong Cui,1,12,0.0,0.0007173172335465358
 Zhiwei Sun,1,12,0.0,0.0007173172335465358
 Zhixiong Shi,1,12,0.0,0.0007173172335465358
 Zhongmin Zou,1,12,0.0,0.0007173172335465358
 Zvezdan Pirtošek,1,12,0.0,0.0007173172335465358
Cristina Colombo,1,12,0.0,0.0007173172335465358
E-K Tan,1,12,0.0,0.0007173172335465358
Enkhjargal Bayarsaikhan,1,12,0.0,0.0007173172335465358
Eun-Joo Shin,1,12,0.0,0.0007173172335465358
Francisco A Ponce,1,12,0.0,0.0007173172335465358
Gianluigi Lunardi,1,12,0.0,0.0007173172335465358
Issa Olakunle Yusuf,1,12,0.0,0.0007173172335465358
Kaige Peng,1,12,0.0,0.0007173172335465358
Kirsten G Coupland,1,12,0.0,0.0007173172335465358
Lucía F Cardo,1,12,0.0,0.0007173172335465358
Marina E Emborg,1,12,0.0,0.0007173172335465358
Marta Cosín-Tomás,1,12,0.0,0.0007173172335465358
Megumi Sado,1,12,0.0,0.0007173172335465358
N Xiong,1,12,0.0,0.0007173172335465358
O Sydow,1,12,0.0,0.0007173172335465358
Peili Huang,1,12,0.0,0.0007173172335465358
Renju Kuriakose,1,12,0.0,0.0007173172335465358
Sebastian A Andujar,1,12,0.0,0.0007173172335465358
Simon Little,1,12,0.0,0.0007173172335465358
Sonja W Scholz,1,12,0.0,0.0007173172335465358
Stewart F Graham,1,12,0.0,0.0007173172335465358
Yun-Il Lee,1,12,0.0,0.0007173172335465358
 A Alonso-Cánovas,1,11,0.0,0.000657540797417658
 A Blair,1,11,0.0,0.000657540797417658
 A Capozzi,1,11,0.0,0.000657540797417658
 A Francia,1,11,0.0,0.000657540797417658
 A Mangiagalli,1,11,0.0,0.000657540797417658
 A Samuele,1,11,0.0,0.000657540797417658
 A Seoane,1,11,0.0,0.000657540797417658
 A Siracusano,1,11,0.0,0.000657540797417658
 A Willems,1,11,0.0,0.000657540797417658
 Abi Li,1,11,0.0,0.000657540797417658
 Adamantios Mamais,1,11,0.0,0.000657540797417658
 Adjmal Nahimi,1,11,0.0,0.000657540797417658
 Adolfo López de Munain,1,11,0.0,0.000657540797417658
 Agata Kiss,1,11,0.0,0.000657540797417658
 Ahreum Lee,1,11,0.0,0.000657540797417658
 Ainara Estanga,1,11,0.0,0.000657540797417658
 Alberto Bergareche,1,11,0.0,0.000657540797417658
 Alex Rajput,1,11,0.0,0.000657540797417658
 Alexandra Dürr,1,11,0.0,0.000657540797417658
 Alinny R Isaac,1,11,0.0,0.000657540797417658
 Alissa Leonard,1,11,0.0,0.000657540797417658
 Allan K Hansen,1,11,0.0,0.000657540797417658
 Amaia Zubiarrain,1,11,0.0,0.000657540797417658
 Amina Nasri,1,11,0.0,0.000657540797417658
 Amy M Griggs,1,11,0.0,0.000657540797417658
 Anders Rodell,1,11,0.0,0.000657540797417658
 Andrew J Waclawik,1,11,0.0,0.000657540797417658
 André Troiano,1,11,0.0,0.000657540797417658
 Angelo Quartarone,1,11,0.0,0.000657540797417658
 Angharad Morgan,1,11,0.0,0.000657540797417658
 Anil Kumar,1,11,0.0,0.000657540797417658
 Anil R Nair,1,11,0.0,0.000657540797417658
 Anna Toulina,1,11,0.0,0.000657540797417658
 Anne-Marie Ouvrard-Hernandez,1,11,0.0,0.000657540797417658
 Anzari Atik,1,11,0.0,0.000657540797417658
 Archana Singh-Manoux,1,11,0.0,0.000657540797417658
 Atsushi Maruyama,1,11,0.0,0.000657540797417658
 B Kelley-Bell,1,11,0.0,0.000657540797417658
 B Marchetti,1,11,0.0,0.000657540797417658
 Bao-Guo Xiao,1,11,0.0,0.000657540797417658
 Bao-Yang Hu,1,11,0.0,0.000657540797417658
 Belen Gago,1,11,0.0,0.000657540797417658
 Belmira Lara da Silveira Andrade-da-Costa,1,11,0.0,0.000657540797417658
 Belén Sánchez,1,11,0.0,0.000657540797417658
 Bernardino Ghetti,1,11,0.0,0.000657540797417658
 Biao Huang,1,11,0.0,0.000657540797417658
 Bin Xing,1,11,0.0,0.000657540797417658
 Bo Wang,1,11,0.0,0.000657540797417658
 Bruce Hermann,1,11,0.0,0.000657540797417658
 C Estévez-Fraga,1,11,0.0,0.000657540797417658
 C Garcia,1,11,0.0,0.000657540797417658
 C Oliveras,1,11,0.0,0.000657540797417658
 C Pont-Sunyer,1,11,0.0,0.000657540797417658
 C de Goede,1,11,0.0,0.000657540797417658
 Carles Gaig,1,11,0.0,0.000657540797417658
 Carlos Cosentino,1,11,0.0,0.000657540797417658
 Carmen Ginghina,1,11,0.0,0.000657540797417658
 Carsten Eggers,1,11,0.0,0.000657540797417658
 Catarina Gonçalves-Pimentel,1,11,0.0,0.000657540797417658
 Cecilia Huerta,1,11,0.0,0.000657540797417658
 Celine Cretallaz,1,11,0.0,0.000657540797417658
 Chang-Qing Deng,1,11,0.0,0.000657540797417658
 Chang-Shi Chen,1,11,0.0,0.000657540797417658
 Chao Sheng,1,11,0.0,0.000657540797417658
 Charalampos Tsoumpas,1,11,0.0,0.000657540797417658
 Chia-Hui Lu,1,11,0.0,0.000657540797417658
 Chiara Rivoiro,1,11,0.0,0.000657540797417658
 Chokri Mhiri,1,11,0.0,0.000657540797417658
 Chris Tan,1,11,0.0,0.000657540797417658
 Christel Condroyer,1,11,0.0,0.000657540797417658
 Christina L Hehl,1,11,0.0,0.000657540797417658
 Christine Sato,1,11,0.0,0.000657540797417658
 Christine Tranchant,1,11,0.0,0.000657540797417658
 Christoph P Beier,1,11,0.0,0.000657540797417658
 Christopher Chen,1,11,0.0,0.000657540797417658
 Christopher J Long,1,11,0.0,0.000657540797417658
 Chun-Hui Jin,1,11,0.0,0.000657540797417658
 Cindy Casteels,1,11,0.0,0.000657540797417658
 Claude Chabrol,1,11,0.0,0.000657540797417658
 Clifford R Jack Jr,1,11,0.0,0.000657540797417658
 Cláudia Jacques Lagranha,1,11,0.0,0.000657540797417658
 Cm Tanner,1,11,0.0,0.000657540797417658
 Cristina Alonso-Montes,1,11,0.0,0.000657540797417658
 Cristina Sarasqueta,1,11,0.0,0.000657540797417658
 Cun-Gen Ma,1,11,0.0,0.000657540797417658
 Cécile Moro,1,11,0.0,0.000657540797417658
 Cécile Quintin,1,11,0.0,0.000657540797417658
 Cíntia de David,1,11,0.0,0.000657540797417658
 D Calandrella,1,11,0.0,0.000657540797417658
 D Jones,1,11,0.0,0.000657540797417658
 D K Ingram,1,11,0.0,0.000657540797417658
 D Kacy Cullen,1,11,0.0,0.000657540797417658
 D Tweedie,1,11,0.0,0.000657540797417658
 Daniel Jimenez-Blasco,1,11,0.0,0.000657540797417658
 Daniel M Johnstone,1,11,0.0,0.000657540797417658
 Danna Jennings,1,11,0.0,0.000657540797417658
 David Filipe de Santana,1,11,0.0,0.000657540797417658
 David Keator,1,11,0.0,0.000657540797417658
 Davide Ferrazzoli,1,11,0.0,0.000657540797417658
 Dean F Wong,1,11,0.0,0.000657540797417658
 Debbie A Lawlor,1,11,0.0,0.000657540797417658
 Dirk Bequé,1,11,0.0,0.000657540797417658
 Dm Umbach,1,11,0.0,0.000657540797417658
 Donald R Johns,1,11,0.0,0.000657540797417658
 Dora Yearout,1,11,0.0,0.000657540797417658
 Doug Speed,1,11,0.0,0.000657540797417658
 Douglas I Katz,1,11,0.0,0.000657540797417658
 Dp Sandler,1,11,0.0,0.000657540797417658
 Duy-Khanh Dang,1,11,0.0,0.000657540797417658
 E Giralt,1,11,0.0,0.000657540797417658
 E L Spangler,1,11,0.0,0.000657540797417658
 E Miele,1,11,0.0,0.000657540797417658
 E Ortona,1,11,0.0,0.000657540797417658
 E Perez,1,11,0.0,0.000657540797417658
 E Rasini,1,11,0.0,0.000657540797417658
 E Wolters,1,11,0.0,0.000657540797417658
 Ebba Lohman,1,11,0.0,0.000657540797417658
 Edgar Morya,1,11,0.0,0.000657540797417658
 Eduardo Isidoro Beltrão,1,11,0.0,0.000657540797417658
 Eiji Warabi,1,11,0.0,0.000657540797417658
 Eitan Friedman,1,11,0.0,0.000657540797417658
 Ekaterina Rogaeva,1,11,0.0,0.000657540797417658
 Elena Dieguez,1,11,0.0,0.000657540797417658
 Elena Ribé,1,11,0.0,0.000657540797417658
 Elisabet Mondragón Rezola,1,11,0.0,0.000657540797417658
 Elsa M Reyes-Reyes,1,11,0.0,0.000657540797417658
